"Level","Question","Option_A","Option_B","Option_C","Option_D","Correct_Option","Solution","Needs_Review","Distractor_Method"
"Intermediate","**Caselet 1: A Company Sells Three Products**
- Product X: 500 units at $10/unit, 20% discount
- Product Y: 400 units at $15/unit, 10% discount
- Product Z: 300 units at $20/unit, no discount

Question: What is the revenue from Product Z?","$6000","$6,600","$5,400","$12,000","A","Revenue = 300 × 20 = $6000.","TRUE","mechanical"
"Intermediate","**Caselet 1: A Company Sells Three Products**
- Product X: 500 units at $10/unit, 20% discount
- Product Y: 400 units at $15/unit, 10% discount
- Product Z: 300 units at $20/unit, no discount

Question: What is the total revenue from all products?","$6,000","$15,400","$5,400","$30,800","B","Total = 4000 + 5400 + 6000 = $15,400.","TRUE","mechanical"
"Intermediate","**Caselet 1: A Company Sells Three Products**
- Product X: 500 units at $10/unit, 20% discount
- Product Y: 400 units at $15/unit, 10% discount
- Product Z: 300 units at $20/unit, no discount

Question: Which product generated the highest revenue?","Product Z","Product X generated the highest revenue, as it had the highest quantity sold at $10/unit.","Product X and Product Y generated the same revenue due to their identical price per unit after discounts.","The revenue from Product Y was significantly less than Product Z because of its lower unit price and lower quantity sold.","A","X ($4000), Y ($5400), Z ($6000). Highest is Z.","TRUE","llm"
"Intermediate","**Caselet 1: A Company Sells Three Products**
- Product X: 500 units at $10/unit, 20% discount
- Product Y: 400 units at $15/unit, 10% discount
- Product Z: 300 units at $20/unit, no discount

Question: What is the average price per unit sold after discounts?","$14.11/unit","$25.66/unit","$12.83/unit","$11.55/unit","C","Total units = 500 + 400 + 300 = 1200. Total revenue = $15,400. Average = 15,400 ÷ 1200 ≈ $12.83/unit.","TRUE","mechanical"
"Intermediate","**Caselet 1: A Company Sells Three Products**
- Product X: 500 units at $10/unit, 20% discount
- Product Y: 400 units at $15/unit, 10% discount
- Product Z: 300 units at $20/unit, no discount

Question: What is the ratio of units sold of X to Y?","Product X units sold in 2005 were 250, not 500, so the ratio of units sold of X to Y is 125 : 400.","5 : 4","The ratio of units sold of X to Y is 2 : 1 because the number of units of X sold is greater than the number of units of Y sold, even though the price of X is less than the price of Y.","The ratio of units sold of X to Y in 2010 is 5 : 2 because 500 units of X were sold at a 20% discount, and 100 units of Y were sold at a 10% discount.","B","X (500) : Y (400) = 500 : 400 = 5 : 4.","TRUE","llm"
"Intermediate","**Caselet 1: A Company Sells Three Products**
- Product X: 500 units at $10/unit, 20% discount
- Product Y: 400 units at $15/unit, 10% discount
- Product Z: 300 units at $20/unit, no discount

Question: How much more revenue did Z generate than X?","$2000","$6,000","$2,200","$4,000","A","Z ($6000) - X ($4000) = $2000.","TRUE","mechanical"
"Intermediate","**Caselet 1: A Company Sells Three Products**
- Product X: 500 units at $10/unit, 20% discount
- Product Y: 400 units at $15/unit, 10% discount
- Product Z: 300 units at $20/unit, no discount

Question: What percentage of total revenue comes from Y?","100%","38.57%","70.12%","35.06%","D","Y ($5400) ÷ Total ($15,400) × 100 ≈ 35.06%.","TRUE","mechanical"
"Intermediate","**Caselet 1: A Company Sells Three Products**
- Product X: 500 units at $10/unit, 20% discount
- Product Y: 400 units at $15/unit, 10% discount
- Product Z: 300 units at $20/unit, no discount

Question: What is the total discount amount given on X and Y?","$500","$1600","$1,000","$600","B","X: 500 × $2 = $1000. Y: 400 × $1.5 = $600. Total = 1000 + 600 = $1600.","TRUE","mechanical"
"Intermediate","**Caselet 2: A School’s Exam Results**
- Class A: 50 students, 60% passed, average score 70
- Class B: 40 students, 75% passed, average score 65
- Class C: 30 students, 80% passed, average score 80

Question: How many students passed in Class A?","50 students","33 students","30 students","60 students","C","Passed = 60% of 50 = (60 ÷ 100) × 50 = 30 students.","TRUE","mechanical"
"Intermediate","**Caselet 2: A School’s Exam Results**
- Class A: 50 students, 60% passed, average score 70
- Class B: 40 students, 75% passed, average score 65
- Class C: 30 students, 80% passed, average score 80

Question: What is the total score of all students in Class B?","The total score of all students in Class B can be determined by multiplying the percentage of students who passed by the total number of students in the school, which gives 25% * 110 students = 2750.","The total score of all students in Class B can be determined by multiplying the number of students by the average score, which gives 40 students * 65 average score = 2600.","The total score of all students in Class B can be determined by multiplying the number of students by the average score, which gives 30 students * 65 average score = 1950.","2600","D","Total score = 40 × 65 = 2600.","TRUE","llm"
"Intermediate","**Caselet 2: A School’s Exam Results**
- Class A: 50 students, 60% passed, average score 70
- Class B: 40 students, 75% passed, average score 65
- Class C: 30 students, 80% passed, average score 80

Question: Which class had the highest pass percentage?","The class with the lowest pass percentage was Class A in 2010.","Class C","Class B had the highest pass percentage.","Class A had a higher pass percentage than Class B in 2005.","B","A: 60%, B: 75%, C: 80%. Highest is C.","TRUE","llm"
"Intermediate","**Caselet 2: A School’s Exam Results**
- Class A: 50 students, 60% passed, average score 70
- Class B: 40 students, 75% passed, average score 65
- Class C: 30 students, 80% passed, average score 80

Question: How many students failed in Class C?","12 students","5 students","6 students","7 students","C","Passed = 80% of 30 = 24. Failed = 30 - 24 = 6 students.","TRUE","mechanical"
"Intermediate","**Caselet 2: A School’s Exam Results**
- Class A: 50 students, 60% passed, average score 70
- Class B: 40 students, 75% passed, average score 65
- Class C: 30 students, 80% passed, average score 80

Question: What is the total number of students who passed across all classes?","75 students","40 students","84 students","30 students","C","A: 30, B: 75% of 40 = 30, C: 24. Total = 30 + 30 + 24 = 84 students.","TRUE","mechanical"
"Intermediate","**Caselet 2: A School’s Exam Results**
- Class A: 50 students, 60% passed, average score 70
- Class B: 40 students, 75% passed, average score 65
- Class C: 30 students, 80% passed, average score 80

Question: What is the average score of all students across the three classes?","40","30","50","70.83","D","Total students = 50 + 40 + 30 = 120. Total score = (50 × 70) + (40 × 65) + (30 × 80) = 3500 + 2600 + 2400 = 8500.
Average = 8500 ÷ 120 ≈ 70.83.","TRUE","mechanical"
"Intermediate","**Caselet 2: A School’s Exam Results**
- Class A: 50 students, 60% passed, average score 70
- Class B: 40 students, 75% passed, average score 65
- Class C: 30 students, 80% passed, average score 80

Question: What is the ratio of passed students in Class A to Class B?","The ratio of passed students in Class A to Class B is 12 : 50.","The ratio of passed students in Class A to Class B is 1 : 2.","The ratio of passed students in Class A to Class B is 6 : 25.","1 : 1","D","A (30) : B (30) = 30 : 30 = 1 : 1.","TRUE","llm"
"Intermediate","**Caselet 2: A School’s Exam Results**
- Class A: 50 students, 60% passed, average score 70
- Class B: 40 students, 75% passed, average score 65
- Class C: 30 students, 80% passed, average score 80

Question: How much higher is Class C’s average score than Class B’s?","15","14","16","30","A","C (80) - B (65) = 15.","TRUE","mechanical"
"Intermediate","**Caselet 2: A School’s Exam Results**
- Class A: 50 students, 60% passed, average score 70
- Class B: 40 students, 75% passed, average score 65
- Class C: 30 students, 80% passed, average score 80

Question: What percentage of total students passed?","84%","70%","100%","120%","B","Total students = 120. Passed = 84. % Passed = (84 ÷ 120) × 100 = 70%.","TRUE","mechanical"
"Intermediate","**Caselet 2: A School’s Exam Results**
- Class A: 50 students, 60% passed, average score 70
- Class B: 40 students, 75% passed, average score 65
- Class C: 30 students, 80% passed, average score 80

Question: What is the total score of passed students in Class C?","The total score of passed students in Class A is 1680.","1920","The total score of passed students in Class C is 2040.","The total score of passed students in Class B is 1950.","B","Passed = 24 students. Total score = 24 × 80 = 1920.","TRUE","llm"
"Advanced","**Table 1: Annual Sales (in $1000) of Three Products Across Two Regions (2021–2023)**
| Product | Region A (2021) | Region A (2022) | Region A (2023) | Region B (2021) | Region B (2022) | Region B (2023) |
|---------|-----------------|-----------------|-----------------|-----------------|-----------------|-----------------|
| X       | 500             | 550             | 600             | 400             | 450             | 500             |
| Y       | 300             | 320             | 350             | 250             | 270             | 300             |
| Z       | 200             | 220             | 250             | 150             | 180             | 200             |

**Table 2: Unit Price ($ per unit) of Products (2021–2023)**
| Product | 2021 | 2022 | 2023 |
|---------|------|------|------|
| X       | 10   | 12   | 15   |
| Y       | 8    | 9    | 10   |
| Z       | 5    | 6    | 7    |

Question: What is the total revenue from Product X in Region A in 2023?","$540,000","$600,000","$1,200,000","$660,000","B","Sales = 600 ($1000) = 600,000. Units = 600,000 ÷ 15 = 40,000. Revenue = 40,000 × 15 = $600,000.","TRUE","mechanical"
"Advanced","**Table 1: Annual Sales (in $1000) of Three Products Across Two Regions (2021–2023)**
| Product | Region A (2021) | Region A (2022) | Region A (2023) | Region B (2021) | Region B (2022) | Region B (2023) |
|---------|-----------------|-----------------|-----------------|-----------------|-----------------|-----------------|
| X       | 500             | 550             | 600             | 400             | 450             | 500             |
| Y       | 300             | 320             | 350             | 250             | 270             | 300             |
| Z       | 200             | 220             | 250             | 150             | 180             | 200             |

**Table 2: Unit Price ($ per unit) of Products (2021–2023)**
| Product | 2021 | 2022 | 2023 |
|---------|------|------|------|
| X       | 10   | 12   | 15   |
| Y       | 8    | 9    | 10   |
| Z       | 5    | 6    | 7    |

Question: Which product had the highest revenue in Region B in 2022?","Product Z had the highest revenue in Region B in 2022 because it had the highest unit price of $6 in 2022 and sold 180 units.","Product X","Product Y had the highest revenue in Region B in 2022 because it showed the greatest increase in sales between 2021 and 2022 in Region B.","The product with the highest revenue in Region B in 2022 was Y, due to its significantly higher sales of 270 units compared to the other products in Region B in 2022.","B","X: 450,000 ÷ 12 = 37,500 units × 12 = $450,000.
Y: 270,000 ÷ 9 = 30,000 units × 9 = $270,000.
Z: 180,000 ÷ 6 = 30,000 units × 6 = $180,000.
Highest is X.","TRUE","llm"
"Advanced","**Table 1: Annual Sales (in $1000) of Three Products Across Two Regions (2021–2023)**
| Product | Region A (2021) | Region A (2022) | Region A (2023) | Region B (2021) | Region B (2022) | Region B (2023) |
|---------|-----------------|-----------------|-----------------|-----------------|-----------------|-----------------|
| X       | 500             | 550             | 600             | 400             | 450             | 500             |
| Y       | 300             | 320             | 350             | 250             | 270             | 300             |
| Z       | 200             | 220             | 250             | 150             | 180             | 200             |

**Table 2: Unit Price ($ per unit) of Products (2021–2023)**
| Product | 2021 | 2022 | 2023 |
|---------|------|------|------|
| X       | 10   | 12   | 15   |
| Y       | 8    | 9    | 10   |
| Z       | 5    | 6    | 7    |

Question: What is the compound annual growth rate (CAGR) of Product Y’s sales in Region A from 2021 to 2023?","8.01%","7.21%","16.02%","8.81%","A","Initial (2021) = 300 ($1000), Final (2023) = 350 ($1000).
CAGR = [(350 ÷ 300)^(1/2) - 1] × 100 ≈ [(1.1667)^0.5 - 1] × 100 ≈ 8.01%.","TRUE","mechanical"
"Advanced","**Table 1: Annual Sales (in $1000) of Three Products Across Two Regions (2021–2023)**
| Product | Region A (2021) | Region A (2022) | Region A (2023) | Region B (2021) | Region B (2022) | Region B (2023) |
|---------|-----------------|-----------------|-----------------|-----------------|-----------------|-----------------|
| X       | 500             | 550             | 600             | 400             | 450             | 500             |
| Y       | 300             | 320             | 350             | 250             | 270             | 300             |
| Z       | 200             | 220             | 250             | 150             | 180             | 200             |

**Table 2: Unit Price ($ per unit) of Products (2021–2023)**
| Product | 2021 | 2022 | 2023 |
|---------|------|------|------|
| X       | 10   | 12   | 15   |
| Y       | 8    | 9    | 10   |
| Z       | 5    | 6    | 7    |

Question: What is the weighted average unit price of all products in 2022, weighted by units sold in Region A?","$9","$12","$9.26","$6","C","Units X: 550,000 ÷ 12 ≈ 45,833. Y: 320,000 ÷ 9 ≈ 35,556. Z: 220,000 ÷ 6 ≈ 36,667.
Total units = 45,833 + 35,556 + 36,667 ≈ 118,056.
Weighted price = [(45,833 × 12) + (35,556 × 9) + (36,667 × 6)] ÷ 118,056 ≈ $9.26.","TRUE","mechanical"
"Advanced","**Table 1: Annual Sales (in $1000) of Three Products Across Two Regions (2021–2023)**
| Product | Region A (2021) | Region A (2022) | Region A (2023) | Region B (2021) | Region B (2022) | Region B (2023) |
|---------|-----------------|-----------------|-----------------|-----------------|-----------------|-----------------|
| X       | 500             | 550             | 600             | 400             | 450             | 500             |
| Y       | 300             | 320             | 350             | 250             | 270             | 300             |
| Z       | 200             | 220             | 250             | 150             | 180             | 200             |

**Table 2: Unit Price ($ per unit) of Products (2021–2023)**
| Product | 2021 | 2022 | 2023 |
|---------|------|------|------|
| X       | 10   | 12   | 15   |
| Y       | 8    | 9    | 10   |
| Z       | 5    | 6    | 7    |

Question: What is the total revenue across both regions for Product Z in 2021?","$350,000","$700,000","$150,000","$200,000","A","A: 200,000 ÷ 5 = 40,000 units × 5 = $200,000.
B: 150,000 ÷ 5 = 30,000 units × 5 = $150,000.
Total = 200,000 + 150,000 = $350,000.","TRUE","mechanical"
"Advanced","**Table 1: Annual Sales (in $1000) of Three Products Across Two Regions (2021–2023)**
| Product | Region A (2021) | Region A (2022) | Region A (2023) | Region B (2021) | Region B (2022) | Region B (2023) |
|---------|-----------------|-----------------|-----------------|-----------------|-----------------|-----------------|
| X       | 500             | 550             | 600             | 400             | 450             | 500             |
| Y       | 300             | 320             | 350             | 250             | 270             | 300             |
| Z       | 200             | 220             | 250             | 150             | 180             | 200             |

**Table 2: Unit Price ($ per unit) of Products (2021–2023)**
| Product | 2021 | 2022 | 2023 |
|---------|------|------|------|
| X       | 10   | 12   | 15   |
| Y       | 8    | 9    | 10   |
| Z       | 5    | 6    | 7    |

Question: What is the percentage contribution of Product X to total revenue in Region B in 2023?","100%","50%","55%","15%","B","X: 500,000 ÷ 15 ≈ 33,333 units × 15 = $500,000.
Y: 300,000 ÷ 10 = 30,000 units × 10 = $300,000.
Z: 200,000 ÷ 7 ≈ 28,571 units × 7 ≈ $200,000.
Total = 500,000 + 300,000 + 200,000 = $1,000,000.
% X = (500,000 ÷ 1,000,000) × 100 = 50%.","TRUE","mechanical"
"Advanced","**Table 1: Annual Sales (in $1000) of Three Products Across Two Regions (2021–2023)**
| Product | Region A (2021) | Region A (2022) | Region A (2023) | Region B (2021) | Region B (2022) | Region B (2023) |
|---------|-----------------|-----------------|-----------------|-----------------|-----------------|-----------------|
| X       | 500             | 550             | 600             | 400             | 450             | 500             |
| Y       | 300             | 320             | 350             | 250             | 270             | 300             |
| Z       | 200             | 220             | 250             | 150             | 180             | 200             |

**Table 2: Unit Price ($ per unit) of Products (2021–2023)**
| Product | 2021 | 2022 | 2023 |
|---------|------|------|------|
| X       | 10   | 12   | 15   |
| Y       | 8    | 9    | 10   |
| Z       | 5    | 6    | 7    |

Question: What is the ratio of units sold of Product Y in Region A to Region B in 2022?","The ratio of units sold of Product Y in Region A to Region B in 2022 is 350 : 250.","119 : 100","The ratio of units sold of Product Y in Region A to Region B in 2022 is 400 : 225.","Product Y in Region A had 320 sales units in 2022 and Product Y in Region B had 270 sales units in 2022, resulting in a ratio of 320 : 270.","B","A: 320,000 ÷ 9 ≈ 35,556 units. B: 270,000 ÷ 9 = 30,000 units.
Ratio = 35,556 : 30,000 ≈ 1.19 : 1 ≈ 119 : 100.","TRUE","llm"
"Advanced","**Table 1: Annual Sales (in $1000) of Three Products Across Two Regions (2021–2023)**
| Product | Region A (2021) | Region A (2022) | Region A (2023) | Region B (2021) | Region B (2022) | Region B (2023) |
|---------|-----------------|-----------------|-----------------|-----------------|-----------------|-----------------|
| X       | 500             | 550             | 600             | 400             | 450             | 500             |
| Y       | 300             | 320             | 350             | 250             | 270             | 300             |
| Z       | 200             | 220             | 250             | 150             | 180             | 200             |

**Table 2: Unit Price ($ per unit) of Products (2021–2023)**
| Product | 2021 | 2022 | 2023 |
|---------|------|------|------|
| X       | 10   | 12   | 15   |
| Y       | 8    | 9    | 10   |
| Z       | 5    | 6    | 7    |

Question: Which region showed the highest revenue growth for Product Z from 2021 to 2023?","Region B","Region A showed the highest revenue growth for Product Z from 2021 to 2023 due to it increasing by $50, which was significantly more than Region B's $50 increase.","The region with the most growth in sales for Product X was actually Region A, not Region B.","Region B had the lowest overall sales growth for all three products from 2021 to 2023.","A","A: 2021: 200,000, 2023: 250,000. % Growth = (50 ÷ 200) × 100 = 25%.
B: 2021: 150,000, 2023: 200,000. % Growth = (50 ÷ 150) × 100 ≈ 33.33%.
B is higher.","TRUE","llm"
"Advanced","**Table 1: Annual Sales (in $1000) of Three Products Across Two Regions (2021–2023)**
| Product | Region A (2021) | Region A (2022) | Region A (2023) | Region B (2021) | Region B (2022) | Region B (2023) |
|---------|-----------------|-----------------|-----------------|-----------------|-----------------|-----------------|
| X       | 500             | 550             | 600             | 400             | 450             | 500             |
| Y       | 300             | 320             | 350             | 250             | 270             | 300             |
| Z       | 200             | 220             | 250             | 150             | 180             | 200             |

**Table 2: Unit Price ($ per unit) of Products (2021–2023)**
| Product | 2021 | 2022 | 2023 |
|---------|------|------|------|
| X       | 10   | 12   | 15   |
| Y       | 8    | 9    | 10   |
| Z       | 5    | 6    | 7    |

Question: What is the total revenue of all products in Region A in 2022?","$550,000","$2,180,000","$1,090,000","$1,199,000","C","X: 550,000. Y: 320,000. Z: 220,000. Total = 550,000 + 320,000 + 220,000 = $1,090,000.","TRUE","mechanical"
"Advanced","**Table 1: Annual Sales (in $1000) of Three Products Across Two Regions (2021–2023)**
| Product | Region A (2021) | Region A (2022) | Region A (2023) | Region B (2021) | Region B (2022) | Region B (2023) |
|---------|-----------------|-----------------|-----------------|-----------------|-----------------|-----------------|
| X       | 500             | 550             | 600             | 400             | 450             | 500             |
| Y       | 300             | 320             | 350             | 250             | 270             | 300             |
| Z       | 200             | 220             | 250             | 150             | 180             | 200             |

**Table 2: Unit Price ($ per unit) of Products (2021–2023)**
| Product | 2021 | 2022 | 2023 |
|---------|------|------|------|
| X       | 10   | 12   | 15   |
| Y       | 8    | 9    | 10   |
| Z       | 5    | 6    | 7    |

Question: What is the percentage increase in unit price of Product X from 2021 to 2023?","15%","55%","50%","100%","C","Increase = 15 - 10 = 5. % Increase = (5 ÷ 10) × 100 = 50%.","TRUE","mechanical"
"Advanced","**Table 3: Production Costs ($ per unit) and Units Produced (2021–2023)**
| Product | Cost (2021) | Cost (2022) | Cost (2023) | Units (2021) | Units (2022) | Units (2023) |
|---------|-------------|-------------|-------------|--------------|--------------|--------------|
| P       | 4           | 5           | 6           | 20,000       | 22,000       | 25,000       |
| Q       | 6           | 7           | 8           | 15,000       | 18,000       | 20,000       |

Question: What is the total production cost of Product P in 2022?","$121,000","$99,000","$220,000","$110,000","D","Cost = 22,000 × 5 = $110,000.","TRUE","mechanical"
"Advanced","**Table 3: Production Costs ($ per unit) and Units Produced (2021–2023)**
| Product | Cost (2021) | Cost (2022) | Cost (2023) | Units (2021) | Units (2022) | Units (2023) |
|---------|-------------|-------------|-------------|--------------|--------------|--------------|
| P       | 4           | 5           | 6           | 20,000       | 22,000       | 25,000       |
| Q       | 6           | 7           | 8           | 15,000       | 18,000       | 20,000       |

Question: What is the percentage increase in production cost per unit for Product Q from 2021 to 2023?","36.66%","33.33%","66.66%","30%","B","Increase = 8 - 6 = 2. % Increase = (2 ÷ 6) × 100 ≈ 33.33%.","TRUE","mechanical"
"Advanced","**Table 3: Production Costs ($ per unit) and Units Produced (2021–2023)**
| Product | Cost (2021) | Cost (2022) | Cost (2023) | Units (2021) | Units (2022) | Units (2023) |
|---------|-------------|-------------|-------------|--------------|--------------|--------------|
| P       | 4           | 5           | 6           | 20,000       | 22,000       | 25,000       |
| Q       | 6           | 7           | 8           | 15,000       | 18,000       | 20,000       |

Question: What is the total cost of producing both products in 2023?","$310,000","$150,000","$620,000","$160,000","A","P: 25,000 × 6 = $150,000. Q: 20,000 × 8 = $160,000. Total = 150,000 + 160,000 = $310,000.","TRUE","mechanical"
"Advanced","**Table 3: Production Costs ($ per unit) and Units Produced (2021–2023)**
| Product | Cost (2021) | Cost (2022) | Cost (2023) | Units (2021) | Units (2022) | Units (2023) |
|---------|-------------|-------------|-------------|--------------|--------------|--------------|
| P       | 4           | 5           | 6           | 20,000       | 22,000       | 25,000       |
| Q       | 6           | 7           | 8           | 15,000       | 18,000       | 20,000       |

Question: What is the CAGR of units produced for Product P from 2021 to 2023?","11.80%","10.62%","12.98%","23.6%","A","Initial = 20,000, Final = 25,000. CAGR = [(25,000 ÷ 20,000)^(1/2) - 1] × 100 ≈ 11.80%.","TRUE","mechanical"
"Advanced","**Table 3: Production Costs ($ per unit) and Units Produced (2021–2023)**
| Product | Cost (2021) | Cost (2022) | Cost (2023) | Units (2021) | Units (2022) | Units (2023) |
|---------|-------------|-------------|-------------|--------------|--------------|--------------|
| P       | 4           | 5           | 6           | 20,000       | 22,000       | 25,000       |
| Q       | 6           | 7           | 8           | 15,000       | 18,000       | 20,000       |

Question: What is the ratio of total production costs of P to Q in 2021?","8 : 9","The ratio of total production costs of P to Q in 2022 is 10 : 9.","The ratio of total production costs of Q to P in 2023 is 12 : 15.","The ratio of total production costs of P to Q in 2021 is 3 : 4.","A","P: 20,000 × 4 = $80,000. Q: 15,000 × 6 = $90,000. Ratio = 80,000 : 90,000 = 8 : 9.","TRUE","llm"
"Advanced","**Table 3: Production Costs ($ per unit) and Units Produced (2021–2023)**
| Product | Cost (2021) | Cost (2022) | Cost (2023) | Units (2021) | Units (2022) | Units (2023) |
|---------|-------------|-------------|-------------|--------------|--------------|--------------|
| P       | 4           | 5           | 6           | 20,000       | 22,000       | 25,000       |
| Q       | 6           | 7           | 8           | 15,000       | 18,000       | 20,000       |

Question: Which product had higher cost growth per unit from 2021 to 2022?","Product P had lower cost growth per unit from 2023 to 2022, decreasing from 6 to 5 dollars per unit.","Product Q had lower cost growth per unit from 2021 to 2022 compared to Product P's total production units, with a cost increase from 6 to 7 dollars per unit on fewer than 20,000 units.","Product Q experienced higher cost growth per unit from 2021 to 2023, increasing from 6 to 8 dollars per unit.","Product P","D","P: (5 - 4) ÷ 4 × 100 = 25%. Q: (7 - 6) ÷ 6 × 100 ≈ 16.67%. P is higher.","TRUE","llm"
"Advanced","**Table 3: Production Costs ($ per unit) and Units Produced (2021–2023)**
| Product | Cost (2021) | Cost (2022) | Cost (2023) | Units (2021) | Units (2022) | Units (2023) |
|---------|-------------|-------------|-------------|--------------|--------------|--------------|
| P       | 4           | 5           | 6           | 20,000       | 22,000       | 25,000       |
| Q       | 6           | 7           | 8           | 15,000       | 18,000       | 20,000       |

Question: What is the total units produced in 2022?","80,000 units","22,000 units","40,000 units","18,000 units","C","P: 22,000 + Q: 18,000 = 40,000 units.","TRUE","mechanical"
"Advanced","**Table 3: Production Costs ($ per unit) and Units Produced (2021–2023)**
| Product | Cost (2021) | Cost (2022) | Cost (2023) | Units (2021) | Units (2022) | Units (2023) |
|---------|-------------|-------------|-------------|--------------|--------------|--------------|
| P       | 4           | 5           | 6           | 20,000       | 22,000       | 25,000       |
| Q       | 6           | 7           | 8           | 15,000       | 18,000       | 20,000       |

Question: What is the percentage contribution of Product Q’s cost to total cost in 2023?","100%","103.22%","56.77%","51.61%","D","Q: $160,000. Total: $310,000. % = (160,000 ÷ 310,000) × 100 ≈ 51.61%.","TRUE","mechanical"
"Advanced","**Table 3: Production Costs ($ per unit) and Units Produced (2021–2023)**
| Product | Cost (2021) | Cost (2022) | Cost (2023) | Units (2021) | Units (2022) | Units (2023) |
|---------|-------------|-------------|-------------|--------------|--------------|--------------|
| P       | 4           | 5           | 6           | 20,000       | 22,000       | 25,000       |
| Q       | 6           | 7           | 8           | 15,000       | 18,000       | 20,000       |

Question: What is the difference in production cost for Product P between 2021 and 2023?","$70,000","$150,000","$80,000","$25,000","A","2021: 20,000 × 4 = $80,000. 2023: 25,000 × 6 = $150,000. Difference = 150,000 - 80,000 = $70,000.","TRUE","mechanical"
"Advanced","**Table 3: Production Costs ($ per unit) and Units Produced (2021–2023)**
| Product | Cost (2021) | Cost (2022) | Cost (2023) | Units (2021) | Units (2022) | Units (2023) |
|---------|-------------|-------------|-------------|--------------|--------------|--------------|
| P       | 4           | 5           | 6           | 20,000       | 22,000       | 25,000       |
| Q       | 6           | 7           | 8           | 15,000       | 18,000       | 20,000       |

Question: What is the weighted average cost per unit in 2022, weighted by units produced?","$11.8","$7","$5","$5.90","D","Total units = 40,000. Cost = (22,000 × 5) + (18,000 × 7) = 110,000 + 126,000 = $236,000.
Average = 236,000 ÷ 40,000 = $5.90.","TRUE","mechanical"
"Advanced","**Stacked Bar Graph 1: Revenue ($1000) by Product Category in Three Cities (2021–2023)**
- 2021: City A (Electronics: 300, Apparel: 200, Food: 100), City B (200, 150, 50), City C (250, 100, 50)
- 2022: City A (350, 220, 120), City B (220, 160, 60), City C (270, 120, 60)
- 2023: City A (400, 250, 150), City B (250, 180, 70), City C (300, 150, 80)

Question: What is the total revenue from Electronics in City A over the three years?","$1,155,000","$2,100,000","$945,000","$1,050,000","D","Total = 300 + 350 + 400 = 1050 ($1000) = $1,050,000.","TRUE","mechanical"
"Advanced","**Stacked Bar Graph 1: Revenue ($1000) by Product Category in Three Cities (2021–2023)**
- 2021: City A (Electronics: 300, Apparel: 200, Food: 100), City B (200, 150, 50), City C (250, 100, 50)
- 2022: City A (350, 220, 120), City B (220, 160, 60), City C (270, 120, 60)
- 2023: City A (400, 250, 150), City B (250, 180, 70), City C (300, 150, 80)

Question: Which city had the highest Apparel revenue in 2023?","City B's Apparel revenue in 2023 was more than twice that of City C's Food revenue for the same year.","City A","City B had the highest percentage increase in Apparel revenue from 2021 to 2023.","City A had the lowest ratio of Food to Apparel revenue in 2023.","B","A: 250, B: 180, C: 150. Highest is A.","TRUE","llm"
"Advanced","**Stacked Bar Graph 1: Revenue ($1000) by Product Category in Three Cities (2021–2023)**
- 2021: City A (Electronics: 300, Apparel: 200, Food: 100), City B (200, 150, 50), City C (250, 100, 50)
- 2022: City A (350, 220, 120), City B (220, 160, 60), City C (270, 120, 60)
- 2023: City A (400, 250, 150), City B (250, 180, 70), City C (300, 150, 80)

Question: What is the percentage growth of Food revenue in City B from 2021 to 2023?","50%","40%","20%","70%","B","Increase = 70 - 50 = 20. % Growth = (20 ÷ 50) × 100 = 40%.","TRUE","mechanical"
"Advanced","**Stacked Bar Graph 1: Revenue ($1000) by Product Category in Three Cities (2021–2023)**
- 2021: City A (Electronics: 300, Apparel: 200, Food: 100), City B (200, 150, 50), City C (250, 100, 50)
- 2022: City A (350, 220, 120), City B (220, 160, 60), City C (270, 120, 60)
- 2023: City A (400, 250, 150), City B (250, 180, 70), City C (300, 150, 80)

Question: What is the total revenue in City C in 2022?","$450,000","$405,000","$495,000","$900,000","A","Total = 270 + 120 + 60 = 450 ($1000) = $450,000.","TRUE","mechanical"
"Advanced","**Stacked Bar Graph 1: Revenue ($1000) by Product Category in Three Cities (2021–2023)**
- 2021: City A (Electronics: 300, Apparel: 200, Food: 100), City B (200, 150, 50), City C (250, 100, 50)
- 2022: City A (350, 220, 120), City B (220, 160, 60), City C (270, 120, 60)
- 2023: City A (400, 250, 150), City B (250, 180, 70), City C (300, 150, 80)

Question: What is the ratio of Electronics to Apparel revenue in City A in 2021?","The ratio of Electronics to Apparel revenue in City A in 2022 is 6 : 5.","The ratio of Electronics to Food revenue in City A in 2021 is 3 : 1.","The ratio of Electronics to Apparel revenue in City C in 2023 is 2 : 1.","3 : 2","D","Electronics (300) : Apparel (200) = 300 : 200 = 3 : 2.","TRUE","llm"
